time,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi
20.58,-1.3556311437409725,0.6420780342914287,1.106500761748807,0.09842702095923894,0.1394387885757149,0.0
20.59,-1.3622805161861102,0.6278469520669039,1.1082608275640382,0.07676167122981986,0.13231778120430307,0.0
20.6,-1.3687804992211468,0.6135470193488929,1.1100166194271701,0.08194463550767007,0.13668394782297605,0.0
20.61,-1.3751303800496892,0.5991798042861589,1.111768068022546,0.08700340642303526,0.14040117875196947,0.0
20.62,-1.381268220211536,0.5848915316822872,1.113497655912186,0.09234286856054857,0.14417792832736376,0.0
20.63,-1.387317342249823,0.5703951190998082,1.115240255868311,0.0978588593710533,0.14797782585361433,0.0
20.64,-1.3932143293078825,0.555836156264761,1.116978306336456,0.06464754273532439,0.13388457604377463,0.0
20.65,-1.3989585347146392,0.5412162397314654,1.118711738701367,0.06940338519997258,0.13874762822732828,0.0
20.66,-1.4045493285532342,0.5265369727385354,1.1204404845301004,0.07403166996198443,0.14278601489033213,0.0
20.67,-1.4100396855659152,0.5116523088281456,1.1221816912430782,0.07898770681335508,0.14686935008227936,0.0
20.68,-1.4152682460422894,0.4970068326938619,1.1238836437750466,0.060214888590861285,0.13800854117748987,0.0
20.69,-1.4204456780475145,0.48201045187436997,1.1256150391088366,0.0646570328199896,0.14275133302384282,0.0
20.7,-1.4254642112720657,0.4669601507436263,1.1273413756990647,0.05131764166391561,0.13548345280991814,0.0
20.71,-1.4301812584785019,0.45230693991674675,1.1290115335799802,0.05552935268814132,0.1407508015259865,0.0
20.72,-1.4348393013617529,0.4373055902543612,1.1307107336489817,0.05956637226978134,0.14507297300696195,0.0
20.73,-1.4393399979464434,0.4222562851060182,1.1324047734820304,0.0640448168627569,0.14950643729090732,0.0
20.74,-1.4436828546804716,0.4071606747976123,1.1340935862013364,0.05172803197163208,0.14316950963746322,0.0
20.75,-1.4478673953206542,0.3920204147329414,1.135777105135463,0.05596330284085042,0.14806283047965973,0.0
20.76,-1.4519720537321235,0.3765330731568185,1.1374887718658024,0.060464557792137795,0.15262993060544736,0.0
20.77,-1.4558354142378847,0.3613076897200077,1.1391613948495918,0.06540468811700537,0.15728345509108943,0.0
20.78,-1.4595028804767316,0.34619552550563926,1.1408118800993536,0.0456850712005559,0.14545746646154165,0.0
20.79,-1.4630827828188386,0.33073973244695276,1.1424900934410074,0.04975683529874932,0.150413451021588,0.0
20.8,-1.4664329594334107,0.31555407696205057,1.1441295062552521,0.05422828394941576,0.15519367473040335,0.0
20.81,-1.4696569681547573,0.30018060555966236,1.1457798170420628,0.058948301238836036,0.15984166258895333,0.0
20.82,-1.4727198124280194,0.2847742159711466,1.1474243726913107,0.06396650858952384,0.16447557062977172,0.0
20.83,-1.4756493531493073,0.269182069518067,1.1490794660242316,0.0486778661825728,0.15613358727038817,0.0
20.84,-1.4783872588789508,0.25371462863694094,1.1507122576819138,0.05353833297666988,0.16152768744598014,0.0
20.85,-1.4809380883919276,0.23837444986840353,1.152322860722659,0.05843895625045645,0.16621593910741234,0.0
20.86,-1.4833764224059651,0.22269797810056124,1.1539599271867307,0.06345159250702706,0.17072187793967034,0.0
20.87,-1.4856054320150205,0.20730774314401496,1.1555585596210711,0.06863302605511168,0.17513186597435834,0.0
20.88,-1.4876948572584154,0.19173943696293644,1.157167229166896,0.03153905668621835,0.15168219595062193,0.0
20.89,-1.4896026854323885,0.17630609618676138,1.158753700292257,0.03555688796994732,0.15762176483419044,0.0
20.9,-1.491384068988907,0.16054145497687208,1.160365890916695,0.03973865089881096,0.16253919351813495,0.0
20.91,-1.4929834509123645,0.144915200382175,1.1619557568429795,0.044305271516853165,0.16738043381698384,0.0
20.92,-1.4944191103760363,0.12927305420271015,1.1635392290332975,0.030453137040669206,0.1581559421382473,0.0
20.93,-1.4956908899436825,0.11361673177607175,1.165116244974877,0.019876177356311458,0.15090319733623783,0.0
20.94,-1.4968088990285433,0.0977912050695772,1.166702414255724,0.023318017533049948,0.15724774784381157,0.0
20.95,-1.4977336461758068,0.08242526986866877,1.1682350529447794,0.02709423647791733,0.1625186540211731,0.0
20.96,-1.498514664121481,0.06673680703243963,1.1697923943518518,0.031110759915488798,0.1674108685442377,0.0
20.97,-1.4991366898313103,0.05088403680549553,1.1713585049707984,0.013428657061185822,0.1526362730536785,0.0
20.98,-1.499587337863813,0.035182611024816346,1.1729023109837933,0.016880577077338053,0.1603966599390736,0.0
20.99,-1.4998755706828466,0.01932026057811377,1.1744546262346063,0.020529428995439913,0.16568007938848023,0.0
21.0,-1.499995262592381,0.0037699072155130365,1.1759693846708952,0.024563968780528106,0.1707008556598612,0.0
21.01,-1.4999524945549034,-0.011937926056154735,1.1774925312621851,0.028772111806786457,0.17521323127900004,0.0
21.02,-1.4997452398234699,-0.02764445019970225,1.1790086707522565,0.0139192104601222,0.16474690802243402,0.0
21.03,-1.499373521125897,-0.043347942817750076,1.180517743286518,0.0178826107378135,0.1713809765770471,0.0
21.04,-1.498837379225328,-0.05904668184539168,1.1820196892893708,0.021976474442924346,0.17594270185197672,0.0
21.05,-1.498136872915766,-0.07473894573896264,1.1835144494665577,0.02623486833280356,0.179846560792421,0.0
21.06,-1.4972720790156195,-0.09042301366491262,1.1850019648075074,0.012931889319735778,0.17222250843706377,0.0
21.07,-1.4962319736860268,-0.10625385131663394,1.186496941624518,0.01689988642587618,0.17623408326982903,0.0
21.08,-1.49505002578675,-0.1217596829621316,1.1879550263707899,0.021067941701751976,0.17977474472012256,0.0
21.09,-1.493707391361993,-0.1372524279950951,1.189405838634813,0.02520487220493863,0.18375315939482295,0.0
21.1,-1.4921882126425896,-0.15288668369257094,1.1908638653454249,-0.008796640655385723,0.15522177260570066,0.0
